fake_id,3,47,191,217,501,503,505,512,514,9003,9004,9005,9006,overall_total
4423-4425,9,5,182,15,157,122,16,249,13,0,23,14,0,805
5865-5868,9,3,206,4,300,34,20,259,11,0,8,2,0,856
64-78,191,155,800,171,524,586,507,326,183,0,24,36,7,3510
6547-6551,4,6,265,3,260,47,28,610,10,0,26,12,0,1271
2703-2712,209,67,430,67,341,335,238,446,139,0,24,43,0,2339
5344-5355,42,29,375,54,382,327,98,1154,99,1,42,92,0,2695
7489-7490,4,2,73,3,19,18,1,211,4,0,4,0,0,339
5875-5876,2,1,68,1,157,11,1,47,6,0,0,6,0,300
2958-2964,65,104,400,129,156,428,140,171,54,1,15,8,0,1671
956-965,119,92,621,197,345,484,318,236,125,5,24,33,1,2600
5602-5625,53,106,1168,163,683,669,172,2392,285,0,57,131,1,5880
3478-3485,240,47,256,58,288,308,193,568,82,1,45,44,0,2130
4810-4810,1,0,1,0,3,2,2,24,2,0,0,0,0,35
5981-5981,1,0,37,0,11,4,2,48,0,0,0,0,0,103
4326-4336,65,27,1147,28,313,160,70,1098,47,0,44,39,1,3039
5988-5988,0,0,4,0,2,0,0,12,0,0,0,0,0,18
7866-7870,1,2,115,3,341,56,4,178,4,0,10,5,0,719
2942-2948,97,70,437,97,227,400,251,230,94,0,10,34,2,1949
6201-6210,77,29,814,45,347,232,133,640,49,0,47,53,0,2466
5131-5140,124,49,517,141,318,491,182,508,106,0,36,52,1,2525
4745-4752,9,12,271,30,268,641,41,755,28,1,39,12,1,2108
5487-5494,14,17,833,20,287,304,28,542,40,0,31,19,0,2135
202-229,602,248,1571,300,991,1124,988,1079,424,4,53,103,4,7491
5310-5321,32,33,434,72,455,377,109,1428,116,0,51,84,0,3191
2113-2120,151,91,411,89,214,289,197,239,90,0,17,24,0,1812
4984-4994,79,42,712,97,337,405,166,801,48,0,27,57,0,2771
6390-6392,23,15,121,11,92,57,24,260,14,0,9,8,0,634
2713-2718,126,35,394,53,132,235,88,220,55,4,12,37,4,1395
