dne_id,lat,lon
6089,-31.4146374528148,-64.189654456841
6090,-31.4192433226839,-64.1865476207071
6091,-31.4177066297017,-64.1887875290827
6094,-31.4099415115346,-64.1915263841937
6097,-31.4157021150894,-64.1949830698178
6098,-31.4127168048073,-64.1953629962598
6099,-31.4306097570435,-64.1905822932647
6100,-31.3129700012767,-64.2609163028363
6106,-31.4250236477598,-64.1415401471736
6113,-31.3904038203854,-64.2291891622113
6125,-31.3480744692258,-64.2576404385102
6138,-31.4276674111999,-64.1135058008263
6144,-31.4360838346768,-64.1205045410743
6146,-31.4081540967555,-64.1401026500974
6147,-31.4081540967555,-64.1401026500974
6160,-31.3387148287756,-64.1789813753491
6180,-31.3963471079995,-64.1878675019928
6183,-31.3735833,-64.1950041
6184,-31.3634276218496,-64.1950139492117
6208,-31.384768877298,-64.1957343322386
6220,-31.3885075341189,-64.2086738688794
6221,-31.3836413618254,-64.2175977191167
6223,-31.4814299126801,-64.2353199310377
6227,-31.4490043009941,-64.2076511089623
6230,-31.467157511677,-64.2338105386232
6233,-31.4390971445909,-64.2511554514576
6236,-31.4390971445909,-64.2511554514576
6249,-31.4958829631103,-64.2017040380113
6250,-31.45624656029,-64.2136569022415
6251,-31.4958829631103,-64.2017040380113
6259,-31.469027810768,-64.2166679780211
6270,-31.4069873486959,-64.2224389115067
6271,-31.4063706861584,-64.2228098701511
6289,-31.4000196075273,-64.2534369104467
6293,-31.4156054982017,-64.2638640830403
6296,-31.4118591415874,-64.2483991349443
6299,-31.3387148287756,-64.1789813753491
6301,-31.4069873486959,-64.2224389115067
6306,-31.3985975604403,-64.2246520570682
6309,-31.3911330762273,-64.2404605461067
6329,-31.4958829631103,-64.2017040380113
6330,-31.4352344941829,-64.1420551510759
6332,-31.4760571343268,-64.0917596873537
6340,-31.4638344219625,-64.0876325312944
6354,-31.321323531678,-64.1166965693695
6355,-31.3950269978436,-64.1756485227053
6375,-31.373538934276,-64.1320131745464
6376,-31.3765192514497,-64.1317989144618
6411,-31.3573872454275,-64.2291127763883
6414,-31.4076115945593,-64.1774258257145
6421,-31.3286318216133,-64.2736270850928
6426,-31.3286318216133,-64.2736270850928
6427,-31.3249849434209,-64.2619952020708
6430,-31.3993855419269,-64.2065682867742
6432,-31.8546267910076,-64.3778330777501
6433,-32.214798586173,-64.3989497873642
6435,-32.3030054,-64.4834006
