latitude,longitude,cant_mesas,direccion,seccion,circuito,localidad,establecim,id,dne_seccio,hora
-64.16210132389548,-31.449473693203622,9,PAMPAYASTA Y RUMIPAL  B°PQUE SCARLOS,1,0012F,CAPITAL,ESC MUNIC E MOLINARI ROMERO,6337,1,20
-64.16704243298841,-31.44861922497575,4,TANINGA 3152,1,0012F,JOSE HERNANDEZ,ESCUELA ADVENTISTA HECTOR RHYS,6338,1,20
-64.08763253129442,-31.4638344219625,4,FARADAY 5168,1,0012G,ITUZAINGO,ESC DR IGNACIO DUARTE QUIROS,6340,1,20
-64.08890907244985,-31.466148196118272,13,STEPHENSON Y FULTON  B°ITUZAINGO,1,0012G,CAPITAL,ESC EJERCITO ARGENTINO,6341,1,20
-64.08742090068775,-31.4675501729749,6,FARADAY 5721 B°LOS  EUCALIPTUS,1,0012G,CAPITAL,ESC SECUNDARIA CARLOS M DE ALV,6343,1,20
-64.1687276109791,-31.454361656632575,9,B DE O'HIGGINS 3500 B°S.E.P.,1,0012H,CAPITAL,ESC RAUL A FERREYRA,6346,1,20
-64.1687276109791,-31.454361656632575,2,B DE O'HIGGINS 3500 B°S.E.P,1,0012H,CAPITAL,J DE INF RAUL A.FERREYRA,6347,1,20
-62.10836695727947,-32.703114019754416,8,SAN JUAN 1090 SUR,9,133,MARCOS JUAREZ,ESC MARIANO MORENO,6688,9,20
-62.11063128381531,-32.69337848204046,5,HIPOLITO YRIGOYEN 1409  NOROESTE,9,133,MARCOS JUAREZ,ESCUELA BARTOLOME MITRE,6690,9,20
-62.45617999991054,-32.91550999480029,8,MONTE BUEY,9,134,MONTE BUEY,ESC JOSE MANUEL ESTRADA,6692,9,20
-62.10206692052254,-32.40890318088168,3,SAIRA,9,137,SAIRA,INSTITUTO MANUEL BELGRANO,6698,9,20
-64.16735443968115,-31.363424694458903,10,J DE OLMEDO 650 B°LOS  GIGANTES,1,0013A,CAPITAL,ESC HENOCH D AGUIAR,6350,1,20
-64.17031157699336,-31.371345154866603,5,MARTINEZ PAZ 80 B°CENTRO  AMERICA,1,0013A,CAPITAL,ESC MUNIC DR P CARANDE CARRO,6351,1,20
-64.1749844659581,-31.367754855354814,12,NERUDA Y ACAMPES B° VILLA  AZALAIS,1,0013A,CAPITAL,ESC P ALBARRACIN DE SARMIENTO,6352,1,20
-64.16800831419648,-31.387955805950906,12,MAURICIO YADAROLA 653  B°GRAL BUSTOS,1,0013C,CAPITAL,ESC CAPITAL FEDERAL,6357,1,20
-64.17087840039159,-31.391466045408798,8,CURA BROCHERO B°GRAL BUSTO  753,1,0013C,CAPITAL,ESC CRISTO REY,6358,1,20
-64.14333132684742,-31.38871842084137,11,TREDENTINA B°NUEVA ITALI  2160,1,0013F,CAPITAL,ESC MODELO RACING,6362,1,20
-64.14600437360797,-31.33514697157846,6,BARTOLOME HIDALGO/ATALIVA  HERRERA,1,0013G,PQUE LICEO 2DA SECC,IPEM 21 ALFONSINA STORNI,6367,1,20
-64.13572948633747,-31.36776250027052,5,H DE AYOHUMA S/N  B°PATRICIOS,1,0013H,CAPITAL,ESC MUNIC DR D LATELLA FRIAS,6372,1,20
-64.13358154712381,-31.372273864902464,6,PUBLICA S/N B°QTAS SAN JORGE  II,1,0013I,CAPITAL,ESC MUNIC DR ALFREDO ORGAZ,6374,1,20
-64.13201317454642,-31.373538934276,7,QUINTA SAN JORGE,1,0013I,CAPITAL,ESC MUNIC JORGE LUIS BORGES,6375,1,20
-64.16088999796585,-31.378930665642912,12,JAMAICA 967 B°RESID AMERICA,1,0013J,CAPITAL,ESC CURA BROCHERO,6379,1,20
-64.16019117468787,-31.388821080087048,14,TISSERA 1551 B° L N ALEM,1,0013J,CAPITAL,ESC VICENTE F LOPEZ,6384,1,20
-65.09016968558369,-31.31837172465572,6,AV CURA BROCHERO 150,11,146,SALSACATE,ESC GENERAL JOSE DE SAN MARTIN,6717,11,20
-64.22966790286337,-31.37693542755122,10,FDO FADER 3821 B°C DE LAS  ROSAS,1,0014D,CAPITAL,ESC INGENIERO VICTOR REE,6399,1,20
-64.26102400031365,-31.321474535259878,4,HNOS GRIMM 7168 B°UOCRA,1,0014E,CAPITAL,ESC MODESTA RODRIGUEZ,6402,1,20
-64.2291127763883,-31.357387245427528,7,PIZARRO Y GRASS B°SANTA  CECILIA,1,0014I,CAPITAL,ESC MUNIC ARSENIO MURUGARREN,6411,1,20
-64.2238181026496,-31.37535023185008,13,OB MOSCOSO Y PERALTA 2772 A  PALERMO,1,0014M,CAPITAL,INST SAUL TABORDA,6421,1,20
-64.54350439999997,-30.775514799999964,2,PUBLICA S/N,12,151,CHARBONIER,ESC P ALBARRACIN DE SARMIENTO,6736,12,20
-64.4890949103425,-31.08563294857298,5,OCAMPO Y ROMAN DEHEZA S/N- LA LOMITA,12,154,LA FALDA,ESC AERONAUTICA ARGENTINA,6742,12,20
-64.51801415609641,-31.423654782368864,10,LOS CEIBOS S/N B°LA QUINTA 0,12,156,VILLA CARLOS PAZ,ESC ISLA DE LOS ESTADOS,6749,12,20
-64.50557374042597,-31.457772546875933,8,LAS MARGARITAS 255-VA  INDEPENDENCIA,12,156,VILLA CARLOS PAZ,ESC RICARDO BERNABE FERNANDEZ,6751,12,20
-64.51196228424234,-31.421011804986076,15,ASUNCION B°LA QUINTA 440,12,156,VILLA CARLOS PAZ,INST BERNARDO D'ELIA,6753,12,20
-64.51725046298503,-31.42356500217804,17,ALFONSINA STORNI Y LOS  ALERCES 0,12,156,VILLA CARLOS PAZ,INST BILINGUE DANTE ALIGHIERI,6754,12,20
-64.50218640453858,-31.41302533635226,8,AMEGHINO Y BALCARCE,12,156,VILLA CARLOS PAZ,PRIMARIO JOSE DE SAN MARTIN,6758,12,20
-64.45497815807904,-31.276519797143088,7,SARMIENTO 59 VILLA BUSTOS,12,157,SANTA MARIA,ESC JUAN BAUTISTA AZOPARDO,6761,12,20
-64.31544100650379,-33.10324333766246,3,EL SALVADOR 840 B° BALACCO,13,165,BANDA NORTE,CNMA 24-ANEXO PCIA STA CRUZ,6790,13,20
-65.002247,-33.5569146,3,BV CORDOBA S/N,13,168,CHAJAN,ESC PROV GRAL J DE SAN MARTIN,6800,13,20
-64.17040969999995,-33.010791,1,AV SAN MARTIN S/N,13,169,CHUCUL,ESC SUBTTE RODOLFO H BERDINA,6801,13,20
-64.29067807571128,-32.58091227448553,4,ELENA,13,170,ELENA,ESC RICARDO GUTIERREZ,6802,13,20
-64.4159941395631,-34.1839330412571,1,CALLE PUBLICA 0,13,173,COLONIA LA ARGENTINA,ESC JOSE DE SAN MARTIN,6807,13,20
-64.3345,-33.1397,9,MONTEVIDEO 751,13,186,PUEBLO ALBERDI,COLEGIO MARIA BENITA ARIAS,6825,13,20
-64.34600352335727,-33.12724520483723,9,BOLIVAR Y ALBERDI,13,188,RIO CUARTO,DICHIARA-EX ESC.GRAL S.MARTIN,6835,13,20
-64.35338210330231,-33.11869906443014,10,9 DE JULIO 314,13,188,RIO CUARTO,ESC FLORENTINO AMEGHINO,6840,13,20
-64.35628772530394,-33.1308387376388,10,MENDOZA 1502,13,188,RIO CUARTO,ESC VELEZ SARSFIELD,6842,13,20
-64.3429433581223,-33.12257197264599,27,BAIGORRIA 463,13,188,RIO CUARTO,ESC.NORMAL COMERCIAL,6844,13,20
-64.35300190707703,-33.12386698590609,13,MITRE 850,13,188,RIO CUARTO,ESCUELA GENERAL PAZ,6845,13,20
-64.3381,-33.1267,12,PASO 790 B° SANTA ROSA,13,188,RIO CUARTO,ESCUELA GRAL ROCA,6846,13,20
-64.3506,-33.1227,12,SAN MARTIN 250,13,188,RIO CUARTO,INST SAN BUENAVENTURA,6848,13,20
-64.52314,-32.2405168,1,VILLA QUILLINZO,2,0018D,VILLA QUILLINZO,ESC.PROV.PADRE FELIX ENRIQUE,6456,2,20
-64.17096819999998,-33.23245819999998,1,PUBLICA 0,13,190,SAN AMBROSIO,ESC.SAN JUAN BOSCO,6851,13,20
-64.31202612970512,-33.647003661655155,9,BELGRANO 121 B°CENTRO,13,191,SAN BASILIO,ESC JOSE DE SAN MARTIN,6852,13,20
-64.55461649690263,-31.981051964383283,5,VILLA GRAL.BELGRANO,2,0020A,VILLA GRAL.BELGRANO,COLEGIO ARGENTINO GERMANO,6457,2,20
-63.413130608136704,-30.782568932052605,7,GENERAL PAZ 788,14,213,OBISPO TREJO,ESCUELA R.GUTIERREZ,6882,14,20
-63.75676116919997,-31.30138588519998,5,AVDA.SARMIENTO E 74 0,14,214,PIQUILLIN,ESC.PROV.D.F.SARMIENTO,6883,14,20
-63.733731136199985,-31.47762661749998,1,QUEBRACHO,14,217,QUEBRACHO,ESC.PROV.1ER.GOBIERNO PATRIO,6886,14,20
-63.72276000005944,-29.90621999656162,7,RIVADAVIA 768 CENTRO,15,229,VILLA DE MARIA,ESC JOSE DE SAN MARTIN,6904,15,20
-63.11656188149997,-31.875831052700033,5,MARIANO MORENO 815,16,232,CARRILOBO,ESC PROV PTE JULIO ROCA,6915,16,20
-63.508737893044014,-31.714060653977334,3,CORRIENTES 237,16,238,MATORRALES,ESC.PROV.D.F.SARMIENTO,6924,16,20
-63.888790548669945,-31.683342394350095,10,PILAR,16,240,PILAR,ESC MARIA J GONZALEZ CASEROS,6930,16,20
-63.914390067340506,-31.652244111172855,10,RIO SEGUNDO,16,243,RIO SEGUNDO,ESC CONGRESO DE TUCUMAN,6937,16,20
-63.538930000041354,-31.56035999556767,10,VILLA DEL ROSARIO,16,245,VILLA DEL ROSARIO,ESCUELA RECONQUISTA,6945,16,20
-63.39624498886944,-34.12778633577391,6,AV PELLEGRINI(B°LA  CHACARITA) 247,17,248,LABOULAYE,ESC LEONOR DE TEJEDA,6955,17,20
-63.924713600011486,-34.01344081599446,8,CARLOS PELLEGRINI(B°SUR) 331,17,252,LEVALLE,ESC DR VIRGILIO BARBALATO,6960,17,20
-65.16710187110002,-31.7905627467,1,PUBLICA 0,18,259,ALTAUTINA,ESC.PROV.M.DE AZCUENAGA,6968,18,20
-65.00184648564705,-31.795548952248204,3,SARMIENTO 223,18,263,NONO,ESC.PROV.D.F.SARMIENTO,6975,18,20
-65.05394,-31.631954399999966,1,PUBLICA 0,18,264,PANAHOLMA,ESC.P.PIZZURNO,6977,18,20
-65.19262451374097,-31.951191890883003,9,PRESIDENTE PERON (B°JARDIN)  565,19,268,DOLORES,ESC MARIANO MORENO,6999,19,20
-65.19049242899993,-31.947974116636125,8,SARMIENTO (B°CENTRO) 270,19,268,DOLORES,INST PBRO J V BRIZUELA,7001,19,20
-64.5045745,-32.1398107,1,SAN IGNACIO,2,0026B,SAN IGNACIO,ESC.PROV.DEAN FUNES,6465,2,20
-64.98797039809999,-31.903548086700038,3,GRAL SAN MARTIN S/N,19,272,LOS HORNILLOS,ESC JOSE DE SAN MARTIN,7006,19,20
-62.46575999990506,-31.938039995349293,4,ALICIA,20,277,ALICIA,ESC JOSE MANUEL ESTRADA,7016,20,20
-63.05844594717879,-31.421855652061726,14,ARROYITO,20,279,ARROYITO,INST DR D VELEZ SARSFIELD,7022,20,20
-62.6731099999342,-31.01136999589021,6,25 DE MAYO (B°IPV NORTE) 271,20,280,BALNEARIA,ESC VICENTE LOPEZ Y PLANES,7024,20,20
-62.11296943229996,-30.52662334890004,1,PUBLICA S/N,20,286,DIEZ DE JULIO,ESC PROV DOMINGO F SARMIENTO,7033,20,20
-62.2986917,-31.9685169,4,MATEO OLIVERO 576,20,289,EL FORTIN,ESC PROV DOMINGO F SARMIENTO,7036,20,20
-64.3375820001161,-31.34759399485178,7,AVELLANEDA 684,3,0028A,CALERA,MARGARITA W DE PAZ,6515,3,20
-62.09862999982838,-31.16560999579809,10,FREYRE,20,291,FREYRE,ESC FLORENTINO AMEGHINO,7040,20,20
-63.062152988000015,-31.25010790829998,5,8 DE SEPTIEMBRE 107,20,295,LA TORDILLA,ESC MARGARITA LA TORRE MERCADO,7045,20,20
-62.71849498486405,-31.865205118170778,6,BUENOS AIRES 460,20,298,LAS VARILLAS,ESCUELA GRAL PAZ,7051,20,20
-62.06192999981853,-31.014019995887658,7,PORTEÑA,20,305,PORTEÑA,ESC PROV 9 DE JULIO,7061,20,20
-62.22435391709998,-31.551736983,2,SARMIENTO 0,20,307,QUEBRACHO HERRADO,ESC.PROV.AYACUCHO,7064,20,20
-63.04218700000366,-31.663324994663157,4,BELGRANO 960,20,308,SACANTA,INST MANUEL BELGRANO,7066,20,20
-62.0778,-31.4364,9,SANTA FE 538,20,310,SAN FCO.SECC.SUR,ESC GENERAL MITRE,7069,20,20
-61.917370498599965,-30.781221073999987,1,COLONIA SAN PEDRO,20,311,COLONIA SAN PEDRO,ESC PROV 9 DE JULIO,7075,20,20
-64.42962245734508,-31.66143292581356,12,3 DE FEBRERO(B° SUR) 362,21,316,ALTA GRACIA,ESC COMANDANTE ESPORA,7093,21,20
