"id","mesa_hasta","codigo_distrito","mesa_desde","codigo_postal","cant_mesas","direccion","seccion","circuito","localidad","distrito","establecimiento","dne_distrito_id","dne_seccion_id"
"6186","803","4","794","5000","10","MATIENZO 5895 B°J NEWBERY","1","0007F","CAPITAL","CÓRDOBA","ESC JORGE NEWBERY","4","1"
"6187","812","4","804","5000","9","CTDA 8 S/N°B°R DE ESCALAD","1","0007F","CAPITAL","CÓRDOBA","ESC NACIONES UNIDAS","4","1"
"6189","830","4","819","5000","12","AVELLANEDA 4100  B°MFRAGUEIRO","1","0007G","CAPITAL","CÓRDOBA","ESC ARTURO CAPDEVILA","4","1"
"6190","842","4","831","5000","12","FRAGUEIRO (MANZANA ""C""  4200","1","0007G","CAPITAL","CÓRDOBA","ESC FRANCISCO VIDAL","4","1"
"6192","844","4","843","5000","2","AVELLANEDA 4100 B°M  FRAGUEIRO","1","0007G","CAPITAL","CÓRDOBA","J DE INF ARTURO CAPDEVILA","4","1"
"6193","846","4","845","5000","2","FRAGUEIRO (MANZANA ""C""  4200","1","0007G","CAPITAL","CÓRDOBA","J DE INF FCO VIDAL","4","1"
"6194","865","4","855","5000","11","BARRIENTOS Y HERRERA B°AMPL  PALMAR","1","0008A","CAPITAL","CÓRDOBA","ESC EMILIO E SANCHEZ","4","1"
"6195","890","4","881","5000","10","ANA M JANER 1551  B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","ESC DEAN FUNES","4","1"
"6196","872","4","866","5000","7","ESQUIU 1340 B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","ESC FRAY J A DE SAN ALBERTO","4","1"
"6197","912","4","901","5000","12","PADRE LUIS MONTI 1850  B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","ESC ROBLES","4","1"
"6198","880","4","873","5000","8","ANA M JANER 1250  B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","INST OBISPO CAIXAL","4","1"
"6199","922","4","913","5000","10","BUCHARDO 1729 B°  PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","INST SAGRADA FAMILIA","4","1"
"6200","900","4","891","5000","10","ROMA 1153 B°PUEYRREDON","1","0008B","CAPITAL","CÓRDOBA","INST SAGRADO CORAZON","4","1"
"6201","947","4","935","5000","13","SAN MARTIN S/N° B° YOFRE SUD","1","0008C","CAPITAL","CÓRDOBA","ESC ALMIRANTE BROWN","4","1"
"6202","934","4","923","5000","12","E SAN MARTIN 1251 B°YOFRE  SUD","1","0008C","CAPITAL","CÓRDOBA","ESC TRINIDAD MORENO","4","1"
"6203","980","4","973","5000","8","CIUDAD DEL BARCO 3315 LA  FRANC","1","0009A","CAPITAL","CÓRDOBA","COL PQUIAL C NAMUNCURA","4","1"
"6204","972","4","966","5000","7","TALAVERA DE MADRID 3261  B°LA FRANCE","1","0009A","CAPITAL","CÓRDOBA","ESC MAHATMA GANDHI","4","1"
"6205","994","4","989","5000","6","MALVINO 2772 B°LAS  MARGARITAS","1","0009B","CAPITAL","CÓRDOBA","ESC CONGRESO DE TUCUMAN","4","1"
"6206","1004","4","995","5000","10","LA GRANJA 3199 B°ALTO VERDE","1","0009B","CAPITAL","CÓRDOBA","ESC MIGUEL RODRIGUEZ DE LA TOR","4","1"
"6207","988","4","981","5000","8","J.LOPEZ 2050 B°ALTOS DE V  CABRER","1","0009B","CAPITAL","CÓRDOBA","ESC RICARDO ROJAS","4","1"
"6208","1024","4","1015","5000","10","FCO VALLE 2443 B°LOS  PARAISOS","1","0009C","CAPITAL","CÓRDOBA","COLEGIO FERMIN LAFITTE","4","1"
"6209","1014","4","1005","5000","10","PLATON 3030 B°LOS PARAISO","1","0009C","CAPITAL","CÓRDOBA","ESC DE COMERCIO J J PASO","4","1"
"6210","1031","4","1025","5000","7","ZARATE 2083 - B° ZUMARAN","1","0009C","CAPITAL","CÓRDOBA","ESC JUVENILIA","4","1"
"6211","1045","4","1032","5000","14","FIRPO 2254 B° ZUMAR","1","0009C","CAPITAL","CÓRDOBA","ESC PCIA DE MISIONES","4","1"
"6212","1053","4","1046","5000","8","RAUL CASARIEGO 4479 B°P  LUGONES","1","0009D","CAPITAL","CÓRDOBA","COL EL SALVADOR","4","1"
"6213","1063","4","1054","5000","10","LESPADA Y GALVEZ B°POETA  LUGONES","1","0009D","CAPITAL","CÓRDOBA","ESC LEOPOLDO LUGONES","4","1"
"6215","1086","4","1073","5000","14","CASTRO BARROS 802 B°SAN  MARTIN","1","0009E","CAPITAL","CÓRDOBA","ESC PTE HIPOLITO YRIGOYEN","4","1"
"6216","1131","4","1124","5000","8","ZELAYA 140 B°SAN MARTIN","1","0009F","CAPITAL","CÓRDOBA","COL NTRA SEÑORA DE LA MERCED","4","1"
"6217","1099","4","1087","5000","13","SAAVEDRA 619 B°SAN MARTIN","1","0009F","CAPITAL","CÓRDOBA","ESC ANTONIO DEL VISO","4","1"
"6218","1123","4","1117","5000","7","CERRITO Y GALAN B°SAN  MARTIN","1","0009F","CAPITAL","CÓRDOBA","ESC J DE SAN MARTIN","4","1"
"6219","1116","4","1100","5000","17","CASTRO BARROS 1316 B°SAN  MARTIN","1","0009F","CAPITAL","CÓRDOBA","INST INMACULADA CONCEPCION","4","1"
"6220","1149","4","1142","5000","8","JULIAN PAZ 1851 VILLA CABRERA","1","0009G","CAPITAL","CÓRDOBA","ESC PRESIDENTE KENNEDY","4","1"
"6221","1141","4","1132","5000","10","CIUDAD DE TAMPA 2954 VILLA  CABRERA","1","0009G","CAPITAL","CÓRDOBA","INSTITUTO PEÑA","4","1"
"6222","1208","4","1201","5000","8","COLORADO/GAIMAN/MASCACHI N B°CABILDO","1","0010A","CAPITAL","CÓRDOBA","ESC MUN YAMAHIBIA ARABE LIBIA","4","1"
"6224","1247","4","1237","5000","11","CACHEUTA Y BRANDAN-ALTO  V.SARSFIELD","1","0010B","CAPITAL","CÓRDOBA","ESC GDOR J B BUSTOS","4","1"
"6225","1230","4","1214","5000","17","AV VELEZ SARSFIELD 3200 LAS  FLORE","1","0010B","CAPITAL","CÓRDOBA","ESC PCIA DE CATAMARCA","4","1"
"6226","1236","4","1231","5000","6","TRAFUL 908 B°PQUE ATLANTICA","1","0010B","CAPITAL","CÓRDOBA","ESC REPUBLICA DE SIRIA","4","1"
"6228","1264","4","1249","5000","16","ICHO CRUZ S/N° B° COMERCIAL","1","0010C","CAPITAL","CÓRDOBA","ESC ALEJANDRO CARBO","4","1"
"6229","1269","4","1265","5000","5","SOBREMONTE Y RIO III  B°COMERCIAL","1","0010C","CAPITAL","CÓRDOBA","ESC MUNIC AZOR GRIMAUT","4","1"
"6230","1275","4","1270","5000","6","REALICO Y CURAZAO B°  CONGRESO","1","0010D","CAPITAL","CÓRDOBA","ESC MUNIC REPUBLICA DE ITALIA","4","1"
"6232","1307","4","1299","5000","9","PETIROSSI Y BONN-ESTACION  FLORES","1","0010E","CAPITAL","CÓRDOBA","ESC ALAS ARGENTINA","4","1"
"6234","1312","4","1308","5000","5","PUBLICA S/N B°SACHI","1","0010E","CAPITAL","CÓRDOBA","ESC MUNIC CESAR E ROMERO","4","1"
"6235","1297","4","1290","5000","8","AVIADOR MIRA VILLA AD 2658","1","0010E","CAPITAL","CÓRDOBA","ESC PADRE BURON","4","1"
"6237","1335","4","1323","5000","13","VARELA ORTIZ 2600 B°  MATIENZO","1","0010F","CAPITAL","CÓRDOBA","COL NUESTRA SEÑORA DE FATIMA","4","1"
"6238","1322","4","1313","5000","10","ESMERALDA/CAP GRELLA B°  MATIENZO","1","0010F","CAPITAL","CÓRDOBA","ESC AERONAUTICA ARGENTINA","4","1"
"6239","1348","4","1343","5000","6","DIAZ DE LA FUENTE 3101  B°MATIENZO","1","0010F","CAPITAL","CÓRDOBA","ESC MIGUEL A ZABALA ORTIZ","4","1"
"6240","1342","4","1336","5000","7","SAN CAYETANO Y BRAILE  B°AMEGHINO(S)","1","0010F","CAPITAL","CÓRDOBA","ESC REPUBLICA ARGENTINA","4","1"
"6241","1401","4","1384","5000","18","AYACUCHO 442 B° GUEMES","1","0010G","CAPITAL","CÓRDOBA","COL NUESTRA SEÑORA DE NIEVA","4","1"
"6242","1374","4","1349","5000","26","MARIANO MORENO 551 B°  OBSERVATORIO","1","0010G","CAPITAL","CÓRDOBA","E.N.E.T. N° 4 COPERNICO","4","1"
"6243","1383","4","1375","5000","9","LA PAMPA 550 B°P DE LOS AND","1","0010G","CAPITAL","CÓRDOBA","EE UU DE NORTEAMERICA","4","1"
"6244","1409","4","1402","5000","8","BOLIVAR 896 B° GÜEM","1","0010G","CAPITAL","CÓRDOBA","ESC ADOLFO SALDIAS","4","1"
"6245","1418","4","1410","5000","9","AV FUERZA AEREA B°PARQUE  CAPITA","1","0010H","CAPITAL","CÓRDOBA","ESC GDOR EMILIO OLMOS","4","1"
"6246","1438","4","1432","5000","7","UNO ESQ DOCE B°AMPL  ROSEDAL","1","0010H","CAPITAL","CÓRDOBA","ESC MUNIC DR A DEL CASTILLO","4","1"
"6247","1431","4","1419","5000","13","ESPORA 2283 B°ROSEDAL","1","0010H","CAPITAL","CÓRDOBA","ESC R ESCALADA DE SAN MARTIN","4","1"
"6252","1481","4","1471","5000","11","CASADO 634 STA ISABEL 1RA  SECCION","1","0010J","CAPITAL","CÓRDOBA","ESC BANDERA ARGENTINA","4","1"
"6253","1498","4","1493","5000","6","OLAVARRIA S/N° STA ISABEL 2DA  SECC","1","0010J","CAPITAL","CÓRDOBA","ESC MUNIC FERNANDEZ ORDOÑEZ","4","1"
