"Id","Lat","Lng"
"6089","-31.4142756","-64.1899483"
"6090","-31.4188902","-64.1870279"
"6091","-31.4178244","-64.189652"
"6092","-31.3849544","-64.20557960000001"
"6093","-31.4094613","-64.1846183"
"6094","-31.4098425","-64.1917884"
"6095","-31.4050198","-64.1997375"
"6096","-31.409828","-64.1962612"
"6097","-31.4152826","-64.1951606"
"6098","-31.4125462","-64.1957161"
"6099","-31.4305096","-64.1918568"
"6100","-31.4226595","-64.1840263"
"6101","-31.4343505","-64.17868"
"6102","-31.3989296","-64.1821289"
"6105","-31.3384857","-64.1652908"
"6106","-31.4251086","-64.1411021"
"6107","-31.4206541","-64.1255616"
"6108","-31.4104599","-64.1574799"
"6109","-31.40518","-64.1565221"
"6110","-31.3380508","-64.178421"
"6111","-31.3891678","-64.1231918"
"6112","-31.39202869999999","-64.2184051"
"6113","-31.3868231","-64.2363936"
"6114","-31.4318543","-64.1939605"
"6115","-31.4428041","-64.2060779"
"6116","-31.4264785","-64.1917339"
"6117","-31.440134","-64.1973572"
"6118","-31.3989296","-64.1821289"
"6119","-31.3788433","-64.1595688"
"6120","-31.3989296","-64.1821289"
"6122","-31.3916644","-64.1503563"
"6123","-31.38973379999999","-64.1565595"
"6124","-31.3840866","-64.1529007"
"6125","-31.35663","-64.2436183"
"6126","-31.447265","-64.1925184"
"6127","-31.36486769999999","-64.2046185"
"6128","-31.4641837","-64.2004202"
"6129","-31.4536623","-64.1975822"
"6130","-31.4507342","-64.1796428"
"6131","-31.4477806","-64.1738663"
"6132","-31.4544778","-64.1745553"
"6133","-31.3989296","-64.1821289"
"6134","-31.3989296","-64.1821289"
"6135","-31.524442","-64.16885189999999"
"6139","-31.3989296","-64.1821289"
"6140","-31.444351","-64.1221894"
"6141","-31.4397366","-64.1265295"
"6142","-31.4298478","-64.1272663"
"6143","-31.4323723","-64.1338851"
"6145","-31.4293286","-64.1290136"
"6146","-31.4077946","-64.1334061"
"6147","-31.4077946","-64.1334061"
"6148","-31.4128609","-64.1388654"
"6149","-31.3989296","-64.1821289"
"6150","-31.4367063","-64.1133614"
"6152","-31.4192638","-64.1313248"
"6153","-31.4215416","-64.1503631"
"6154","-31.4205357","-64.1546184"
"6155","-31.4257118","-64.1584147"
"6156","-31.424136","-64.1633616"
"6157","-31.4213634","-64.14606909999999"
"6161","-31.3796444","-64.1294861"
"6162","-31.340929","-64.178421"
"6163","-31.4138883","-64.1645712"
"6164","-31.4108156","-64.1657493"
"6165","-31.4188957","-64.1693573"
"6166","-31.4186401","-64.1647491"
"6167","-31.3384857","-64.1652908"
"6168","-31.4132435","-64.1503457"
"6169","-31.4100327","-64.1524665"
"6172","-31.3910256","-64.18205569999999"
"6173","-31.3863883","-64.1863717"
"6174","-31.3945404","-64.1817738"
"6175","-31.3892318","-64.18266489999999"
"6176","-31.385191","-64.1839371"
"6177","-31.4520743","-64.1753876"
"6178","-31.3961767","-64.1904934"
"6179","-31.4026526","-64.1831112"
"6180","-31.3962323","-64.1881413"
"6181","-31.36425969999999","-64.1957245"
"6182","-31.3685825","-64.2028709"
"6184","-31.3636986","-64.1955986"
"6185","-31.4799175","-64.2149658"
"6186","-31.4520743","-64.1753876"
"6187","-31.3989296","-64.1821289"
"6189","-31.3663313","-64.1869627"
"6190","-31.4354878","-64.1855715"
"6192","-31.3663313","-64.1869627"
"6193","-31.4354878","-64.1855715"
"6194","-31.3989296","-64.1821289"
"6195","-31.3985549","-64.16588"
"6196","-31.4031979","-64.1752563"
"6197","-31.3995884","-64.1642651"
"6198","-31.4012107","-64.1646786"
"6199","-31.40286189999999","-64.1647758"
"6200","-31.4031196","-64.16740159999999"
"6201","-31.407959","-64.1807175"
"6202","-31.4035717","-64.1786922"
"6203","-31.3989296","-64.1821289"
"6204","-31.3741632","-64.2078868"
"6205","-31.37706009999999","-64.2122594"
"6206","-31.3723469","-64.22069549999999"
"6207","-31.3823428","-64.2225113"
"6208","-31.4354878","-64.1855715"
"6209","-31.3778371","-64.2004797"
"6210","-31.3758676","-64.20162669999999"
"6211","-31.3745807","-64.20402779999999"
"6212","-31.3626832","-64.2078444"
"6213","-31.3989296","-64.1821289"
"6215","-31.3978641","-64.1989164"
"6216","-31.3980013","-64.1967488"
"6217","-31.3850765","-64.1964357"
"6218","-31.392828","-64.19791409999999"
"6219","-31.3935383","-64.20259829999999"
"6220","-31.3884757","-64.2088014"
"6221","-31.3837217","-64.217717"
"6222","-31.3989296","-64.1821289"
"6224","-31.3989296","-64.1821289"
"6225","-31.3989296","-64.1821289"
"6226","-31.4527966","-64.2104152"
"6228","-31.4811783","-64.208992"
"6229","-31.3989296","-64.1821289"
"6230","-31.3989296","-64.1821289"
"6232","-31.46215249999999","-64.19354249999999"
"6234","-31.3796444","-64.1294861"
"6235","-31.4267807","-64.2492905"
"6237","-31.4389477","-64.2375824"
"6238","-31.3989296","-64.1821289"
"6239","-31.4444695","-64.2369595"
"6240","-31.3989296","-64.1821289"
"6241","-31.419804","-64.19193"
"6242","-31.41875869999999","-64.2001519"
"6243","-31.417563","-64.2053512"
"6244","-31.4244966","-64.19546249999999"
"6245","-31.4334747","-64.2587394"
"6246","-31.3989296","-64.1821289"
"6247","-31.436722","-64.22663179999999"
"6252","-31.3989296","-64.1821289"
"6253","-31.3989296","-64.1821289"
"6255","-31.4775448","-64.2330856"
"6256","-31.48258019999999","-64.2447281"
"6257","-31.3989296","-64.1821289"
"6258","-31.4545689","-64.213562"
"6259","-31.3989296","-64.1821289"
"6261","-31.3989296","-64.1821289"
"6262","-31.4755268","-64.217659"
"6263","-31.3989296","-64.1821289"
"6267","-31.395023","-64.2137877"
"6268","-31.4031323","-64.2181262"
"6269","-31.3989296","-64.1821289"
"6270","-31.40680279999999","-64.2226393"
"6271","-31.4061408","-64.22304"
"6272","-31.40465799999999","-64.20942409999999"
"6273","-31.3989296","-64.1821289"
"6274","-31.3989296","-64.1821289"
"6275","-31.3882484","-64.2728348"
"6276","-31.39610219999999","-64.2426642"
"6277","-31.398656","-64.2545118"
"6278","-31.3989296","-64.1821289"
"6281","-31.4225933","-64.2221239"
"6282","-31.391179","-64.1441779"
"6283","-31.3989296","-64.1821289"
"6284","-31.41425719999999","-64.2300649"
"6285","-31.4229096","-64.23093399999999"
